# time[ns]	wake_long[V/pC]	wake_dip_x[V/pC/mm]	wake_dip_y[V/pC/mm]
-33356.41	0.0	0.0	0.0
-0.166782	0.0	0.0	0.0
-0.1667404	0.0	0.0	0.0
-0.1666987	0.0	0.0	0.0
-0.166657	0.0	0.0	0.0
-0.1666153	0.0	0.0	0.0
-0.1665736	0.0	0.0	0.0
-0.1665319	0.0	0.0	0.0
-0.1664902	0.0	0.0	0.0
-0.1664485	0.0	0.0	0.0
-0.1664068	0.0	0.0	0.0
-0.1663651	0.0	0.0	0.0
-0.1663234	0.0	0.0	0.0
-0.1662817	0.0	0.0	0.0
-0.16624	0.0	0.0	0.0
-0.1661983	0.0	0.0	0.0
-0.1661566	0.0	0.0	0.0
-0.1661149	0.0	0.0	0.0
-0.1660732	0.0	0.0	0.0
-0.1660315	0.0	0.0	0.0
-0.1659898	0.0	0.0	0.0
-0.1659481	0.0	0.0	0.0
-0.1659064	0.0	0.0	0.0
-0.1658647	0.0	0.0	0.0
-0.165823	0.0	0.0	0.0
-0.1657813	0.0	0.0	0.0
-0.1657396	0.0	0.0	0.0
-0.1656979	0.0	0.0	0.0
-0.1656562	0.0	0.0	0.0
-0.1656145	0.0	0.0	0.0
-0.1655728	0.0	0.0	0.0
-0.1655311	0.0	0.0	0.0
-0.1654894	0.0	0.0	0.0
-0.1654477	0.0	0.0	0.0
-0.165406	0.0	0.0	0.0
-0.1653643	0.0	0.0	0.0
-0.1653226	0.0	0.0	0.0
-0.1652809	0.0	0.0	0.0
-0.1652392	0.0	0.0	0.0
-0.1651975	0.0	0.0	0.0
-0.1651558	0.0	0.0	0.0
-0.1651141	0.0	0.0	0.0
-0.1650724	0.0	0.0	0.0
-0.1650307	0.0	0.0	0.0
-0.1649891	0.0	0.0	0.0
-0.1649474	0.0	0.0	0.0
-0.1649057	0.0	0.0	0.0
-0.164864	0.0	0.0	0.0
-0.1648223	0.0	0.0	0.0
-0.1647806	0.0	0.0	0.0
-0.1647389	0.0	0.0	0.0
-0.1646972	0.0	0.0	0.0
-0.1646555	0.0	0.0	0.0
-0.1646138	0.0	0.0	0.0
-0.1645721	0.0	0.0	0.0
-0.1645304	0.0	0.0	0.0
-0.1644887	0.0	0.0	0.0
-0.164447	0.0	0.0	0.0
-0.1644053	0.0	0.0	0.0
-0.1643636	0.0	0.0	0.0
-0.1643219	0.0	0.0	0.0
-0.1642802	0.0	0.0	0.0
-0.1642385	0.0	0.0	0.0
-0.1641968	0.0	0.0	0.0
-0.1641551	0.0	0.0	0.0
-0.1641134	0.0	0.0	0.0
-0.1640717	0.0	0.0	0.0
-0.16403	0.0	0.0	0.0
-0.1639883	0.0	0.0	0.0
-0.1639466	0.0	0.0	0.0
-0.1639049	0.0	0.0	0.0
-0.1638632	0.0	0.0	0.0
-0.1638215	0.0	0.0	0.0
-0.1637798	0.0	0.0	0.0
-0.1637381	0.0	0.0	0.0
-0.1636964	0.0	0.0	0.0
-0.1636547	0.0	0.0	0.0
-0.163613	0.0	0.0	0.0
-0.1635713	0.0	0.0	0.0
-0.1635296	0.0	0.0	0.0
-0.1634879	0.0	0.0	0.0
-0.1634462	0.0	0.0	0.0
-0.1634045	0.0	0.0	0.0
-0.1633628	0.0	0.0	0.0
-0.1633211	0.0	0.0	0.0
-0.1632794	0.0	0.0	0.0
-0.1632378	0.0	0.0	0.0
-0.1631961	0.0	0.0	0.0
-0.1631544	0.0	0.0	0.0
-0.1631127	0.0	0.0	0.0
-0.163071	0.0	0.0	0.0
-0.1630293	0.0	0.0	0.0
