# t_ns	Wlong_V/pC	Wx_dip_V/pCmm	Wy_dip_V/pCmm
9.200000000000e-02	2.638169683178e+02	-1.376510896346e-02	-1.376510896346e-02
9.300000000000e-02	2.636487015844e+02	-1.384157371515e-02	-1.384157371515e-02
9.400000000000e-02	2.634780561327e+02	-1.391604535143e-02	-1.391604535143e-02
9.500000000000e-02	2.633074106810e+02	-1.399051698768e-02	-1.399051698768e-02
9.600000000000e-02	2.631320493600e+02	-1.406085703063e-02	-1.406085703063e-02
9.700000000000e-02	2.629566880390e+02	-1.413119707358e-02	-1.413119707358e-02
9.800000000000e-02	2.627789902728e+02	-1.419940230179e-02	-1.419940230179e-02
9.900000000000e-02	2.625989560615e+02	-1.426547271532e-02	-1.426547271532e-02
1.000000000000e-01	2.624189218503e+02	-1.433154312883e-02	-1.433154312883e-02
1.010000000000e-01	2.622342590447e+02	-1.439321354094e-02	-1.439321354094e-02
1.020000000000e-01	2.620495962391e+02	-1.445488395306e-02	-1.445488395306e-02
1.030000000000e-01	2.618626418933e+02	-1.451429316979e-02	-1.451429316979e-02
1.040000000000e-01	2.616733960073e+02	-1.457144119118e-02	-1.457144119118e-02
1.050000000000e-01	2.614841501213e+02	-1.462858921255e-02	-1.462858921255e-02
1.060000000000e-01	2.612903677858e+02	-1.468110073508e-02	-1.468110073508e-02
1.070000000000e-01	2.610965854504e+02	-1.473361225762e-02	-1.473361225762e-02
1.080000000000e-01	2.609005587119e+02	-1.478375275600e-02	-1.478375275600e-02
1.090000000000e-01	2.607022875706e+02	-1.483152223028e-02	-1.483152223028e-02
1.100000000000e-01	2.605040164292e+02	-1.487929170454e-02	-1.487929170454e-02
1.110000000000e-01	2.603013050323e+02	-1.492222239574e-02	-1.492222239574e-02
1.120000000000e-01	2.600985936355e+02	-1.496515308695e-02	-1.496515308695e-02
1.130000000000e-01	2.598936867851e+02	-1.500562054316e-02	-1.500562054316e-02
1.140000000000e-01	2.596865844814e+02	-1.504362476444e-02	-1.504362476444e-02
1.150000000000e-01	2.594794821777e+02	-1.508162898570e-02	-1.508162898570e-02
1.160000000000e-01	2.592680390046e+02	-1.511462830848e-02	-1.511462830848e-02
1.170000000000e-01	2.590565958314e+02	-1.514762763127e-02	-1.514762763127e-02
1.180000000000e-01	2.588430075308e+02	-1.517809001295e-02	-1.517809001295e-02
1.190000000000e-01	2.586272741029e+02	-1.520601545359e-02	-1.520601545359e-02
1.200000000000e-01	2.584115406750e+02	-1.523394089420e-02	-1.523394089420e-02
1.210000000000e-01	2.581915680721e+02	-1.525673307637e-02	-1.525673307637e-02
1.220000000000e-01	2.579715954692e+02	-1.527952525854e-02	-1.527952525854e-02
1.230000000000e-01	2.577495289949e+02	-1.529972599586e-02	-1.529972599586e-02
1.240000000000e-01	2.575253686492e+02	-1.531733528839e-02	-1.531733528839e-02
1.250000000000e-01	2.573012083034e+02	-1.533494458089e-02	-1.533494458089e-02
1.260000000000e-01	2.570729118857e+02	-1.534733121050e-02	-1.534733121050e-02
1.270000000000e-01	2.568446154679e+02	-1.535971784010e-02	-1.535971784010e-02
1.280000000000e-01	2.566142769123e+02	-1.536947822426e-02	-1.536947822426e-02
1.290000000000e-01	2.563818962189e+02	-1.537661236302e-02	-1.537661236302e-02
1.300000000000e-01	2.561495155255e+02	-1.538374650176e-02	-1.538374650176e-02
1.310000000000e-01	2.559131023651e+02	-1.538560832904e-02	-1.538560832904e-02
1.320000000000e-01	2.556766892047e+02	-1.538747015631e-02	-1.538747015631e-02
1.330000000000e-01	2.554382856650e+02	-1.538669093924e-02	-1.538669093924e-02
1.340000000000e-01	2.551978917461e+02	-1.538327067788e-02	-1.538327067788e-02
1.350000000000e-01	2.549574978271e+02	-1.537985041649e-02	-1.537985041649e-02
1.360000000000e-01	2.547131746462e+02	-1.537114834327e-02	-1.537114834327e-02
1.370000000000e-01	2.544688514653e+02	-1.536244627005e-02	-1.536244627005e-02
1.380000000000e-01	2.542225892405e+02	-1.535110844858e-02	-1.535110844858e-02
1.390000000000e-01	2.539743879719e+02	-1.533713487890e-02	-1.533713487890e-02
1.400000000000e-01	2.537261867033e+02	-1.532316130920e-02	-1.532316130920e-02
1.410000000000e-01	2.534741580900e+02	-1.530393655607e-02	-1.530393655607e-02
1.420000000000e-01	2.532221294767e+02	-1.528471180294e-02	-1.528471180294e-02
1.430000000000e-01	2.529682122935e+02	-1.526287658007e-02	-1.526287658007e-02
1.440000000000e-01	2.527124065404e+02	-1.523843088752e-02	-1.523843088752e-02
1.450000000000e-01	2.524566007873e+02	-1.521398519495e-02	-1.521398519495e-02
1.460000000000e-01	2.521970674560e+02	-1.518435864618e-02	-1.518435864618e-02
1.470000000000e-01	2.519375341248e+02	-1.515473209741e-02	-1.515473209741e-02
1.480000000000e-01	2.516761614124e+02	-1.512254002324e-02	-1.512254002324e-02
1.490000000000e-01	2.514129493191e+02	-1.508778242371e-02	-1.508778242371e-02
1.500000000000e-01	2.511497372258e+02	-1.505302482416e-02	-1.505302482416e-02
1.510000000000e-01	2.508828943412e+02	-1.501319556004e-02	-1.501319556004e-02
1.520000000000e-01	2.506160514565e+02	-1.497336629592e-02	-1.497336629592e-02
1.530000000000e-01	2.503474166906e+02	-1.493103560005e-02	-1.493103560005e-02
1.540000000000e-01	2.500769900434e+02	-1.488620347247e-02	-1.488620347247e-02
1.550000000000e-01	2.498065633961e+02	-1.484137134487e-02	-1.484137134487e-02
1.560000000000e-01	2.495325989796e+02	-1.479161438049e-02	-1.479161438049e-02
1.570000000000e-01	2.492586345630e+02	-1.474185741611e-02	-1.474185741611e-02
1.580000000000e-01	2.489829236957e+02	-1.468968155311e-02	-1.468968155311e-02
1.590000000000e-01	2.487054663777e+02	-1.463508679155e-02	-1.463508679155e-02
1.600000000000e-01	2.484280090596e+02	-1.458049202996e-02	-1.458049202996e-02
1.610000000000e-01	2.481471024965e+02	-1.452115528881e-02	-1.452115528881e-02
1.620000000000e-01	2.478661959334e+02	-1.446181854766e-02	-1.446181854766e-02
1.630000000000e-01	2.475835859292e+02	-1.440016298610e-02	-1.440016298610e-02
1.640000000000e-01	2.472992724839e+02	-1.433618860418e-02	-1.433618860418e-02
1.650000000000e-01	2.470149590386e+02	-1.427221422223e-02	-1.427221422223e-02
1.660000000000e-01	2.467272797026e+02	-1.420371478184e-02	-1.420371478184e-02
1.670000000000e-01	2.464396003666e+02	-1.413521534146e-02	-1.413521534146e-02
1.680000000000e-01	2.461502578586e+02	-1.406451363579e-02	-1.406451363579e-02
1.690000000000e-01	2.458592521786e+02	-1.399160966490e-02	-1.399160966490e-02
1.700000000000e-01	2.455682464987e+02	-1.391870569399e-02	-1.391870569399e-02
1.710000000000e-01	2.452739525081e+02	-1.384152534912e-02	-1.384152534912e-02
1.720000000000e-01	2.449796585175e+02	-1.376434500425e-02	-1.376434500425e-02
1.730000000000e-01	2.446837385997e+02	-1.368509419722e-02	-1.368509419722e-02
1.740000000000e-01	2.443861927546e+02	-1.360377292807e-02	-1.360377292807e-02
1.750000000000e-01	2.440886469096e+02	-1.352245165890e-02	-1.352245165890e-02
1.760000000000e-01	2.437878840299e+02	-1.343713185568e-02	-1.343713185568e-02
1.770000000000e-01	2.434871211503e+02	-1.335181205246e-02	-1.335181205246e-02
1.780000000000e-01	2.431847663186e+02	-1.326456746308e-02	-1.326456746308e-02
1.790000000000e-01	2.428808195346e+02	-1.317539808757e-02	-1.317539808757e-02
1.800000000000e-01	2.425768727507e+02	-1.308622871205e-02	-1.308622871205e-02
1.810000000000e-01	2.422697734546e+02	-1.299336491356e-02	-1.299336491356e-02
1.820000000000e-01	2.419626741584e+02	-1.290050111507e-02	-1.290050111507e-02
1.830000000000e-01	2.416540134117e+02	-1.280587057442e-02	-1.280587057442e-02
1.840000000000e-01	2.413437912144e+02	-1.270947329164e-02	-1.270947329164e-02
1.850000000000e-01	2.410335690171e+02	-1.261307600884e-02	-1.261307600884e-02
1.860000000000e-01	2.407202517113e+02	-1.251331155894e-02	-1.251331155894e-02
1.870000000000e-01	2.404069344056e+02	-1.241354710903e-02	-1.241354710903e-02
1.880000000000e-01	2.400920825167e+02	-1.231218471205e-02	-1.231218471205e-02
1.890000000000e-01	2.397756960449e+02	-1.220922436802e-02	-1.220922436802e-02
1.900000000000e-01	2.394593095730e+02	-1.210626402398e-02	-1.210626402398e-02
1.910000000000e-01	2.391398780013e+02	-1.200028358169e-02	-1.200028358169e-02
1.920000000000e-01	2.388204464296e+02	-1.189430313939e-02	-1.189430313939e-02
1.930000000000e-01	2.384995033927e+02	-1.178690258620e-02	-1.178690258620e-02
1.940000000000e-01	2.381770488907e+02	-1.167808192215e-02	-1.167808192215e-02
1.950000000000e-01	2.378545943887e+02	-1.156926125809e-02	-1.156926125809e-02
1.960000000000e-01	2.375291372149e+02	-1.145778387944e-02	-1.145778387944e-02
1.970000000000e-01	2.372036800412e+02	-1.134630650080e-02	-1.134630650080e-02
1.980000000000e-01	2.368767307008e+02	-1.123359410544e-02	-1.123359410544e-02
1.990000000000e-01	2.365482891940e+02	-1.111964669340e-02	-1.111964669340e-02
2.000000000000e-01	2.362198476871e+02	-1.100569928134e-02	-1.100569928134e-02
2.010000000000e-01	2.358884382630e+02	-1.088947122927e-02	-1.088947122927e-02
2.020000000000e-01	2.355570288390e+02	-1.077324317720e-02	-1.077324317720e-02
2.030000000000e-01	2.352241427044e+02	-1.065597062500e-02	-1.065597062500e-02
2.040000000000e-01	2.348897798592e+02	-1.053765357268e-02	-1.053765357268e-02
2.050000000000e-01	2.345554170141e+02	-1.041933652035e-02	-1.041933652035e-02
2.060000000000e-01	2.342181133327e+02	-1.029912388560e-02	-1.029912388560e-02
2.070000000000e-01	2.338808096513e+02	-1.017891125086e-02	-1.017891125086e-02
2.080000000000e-01	2.335420408958e+02	-1.005784818800e-02	-1.005784818800e-02
2.090000000000e-01	2.332018070663e+02	-9.935934697054e-03	-9.935934697054e-03
2.100000000000e-01	2.328615732367e+02	-9.814021206100e-03	-9.814021206100e-03
2.110000000000e-01	2.325184180702e+02	-9.690602424051e-03	-9.690602424051e-03
2.120000000000e-01	2.321752629036e+02	-9.567183642003e-03	-9.567183642003e-03
2.130000000000e-01	2.318306505486e+02	-9.443110182304e-03	-9.443110182304e-03
2.140000000000e-01	2.314845810051e+02	-9.318382044969e-03	-9.318382044969e-03
2.150000000000e-01	2.311385114616e+02	-9.193653907628e-03	-9.193653907628e-03
2.160000000000e-01	2.307895326809e+02	-9.067812256119e-03	-9.067812256119e-03
2.170000000000e-01	2.304405539002e+02	-8.941970604610e-03	-8.941970604610e-03
2.180000000000e-01	2.300901221790e+02	-8.815669838511e-03	-8.815669838511e-03
2.190000000000e-01	2.297382375172e+02	-8.688909957832e-03	-8.688909957832e-03
2.200000000000e-01	2.293863528554e+02	-8.562150077149e-03	-8.562150077149e-03
2.210000000000e-01	2.290315639264e+02	-8.434666240099e-03	-8.434666240099e-03
2.220000000000e-01	2.286767749974e+02	-8.307182403049e-03	-8.307182403049e-03
2.230000000000e-01	2.283205338940e+02	-8.179432993341e-03	-8.179432993341e-03
2.240000000000e-01	2.279628406163e+02	-8.051418010982e-03	-8.051418010982e-03
2.250000000000e-01	2.276051473385e+02	-7.923403028620e-03	-7.923403028620e-03
2.260000000000e-01	2.272445479867e+02	-7.795047808549e-03	-7.795047808549e-03
2.270000000000e-01	2.268839486350e+02	-7.666692588477e-03	-7.666692588477e-03
2.280000000000e-01	2.265218945898e+02	-7.538261535258e-03	-7.538261535258e-03
2.290000000000e-01	2.261583858513e+02	-7.409754648892e-03	-7.409754648892e-03
2.300000000000e-01	2.257948771127e+02	-7.281247762526e-03	-7.281247762526e-03
2.310000000000e-01	2.254284541483e+02	-7.152775022566e-03	-7.152775022566e-03
2.320000000000e-01	2.250620311838e+02	-7.024302282606e-03	-7.024302282606e-03
2.330000000000e-01	2.246941479561e+02	-6.895937937234e-03	-6.895937937234e-03
2.340000000000e-01	2.243248044653e+02	-6.767681986447e-03	-6.767681986447e-03
2.350000000000e-01	2.239554609745e+02	-6.639426035662e-03	-6.639426035662e-03
2.360000000000e-01	2.235831892652e+02	-6.511565948084e-03	-6.511565948084e-03
2.370000000000e-01	2.232109175560e+02	-6.383705860506e-03	-6.383705860506e-03
2.380000000000e-01	2.228371772322e+02	-6.256131264520e-03	-6.256131264520e-03
2.390000000000e-01	2.224619682940e+02	-6.128842160119e-03	-6.128842160119e-03
2.400000000000e-01	2.220867593558e+02	-6.001553055722e-03	-6.001553055722e-03
2.410000000000e-01	2.217086029367e+02	-5.875005729544e-03	-5.875005729544e-03
2.420000000000e-01	2.213304465177e+02	-5.748458403365e-03	-5.748458403365e-03
2.430000000000e-01	2.209508106518e+02	-5.622365023649e-03	-5.622365023649e-03
2.440000000000e-01	2.205696953393e+02	-5.496725590386e-03	-5.496725590386e-03
2.450000000000e-01	2.201885800267e+02	-5.371086157129e-03	-5.371086157129e-03
2.460000000000e-01	2.198044933307e+02	-5.246515712036e-03	-5.246515712036e-03
2.470000000000e-01	2.194204066347e+02	-5.121945266944e-03	-5.121945266944e-03
2.480000000000e-01	2.190348275067e+02	-4.997987192899e-03	-4.997987192899e-03
2.490000000000e-01	2.186477559468e+02	-4.874641489889e-03	-4.874641489889e-03
2.500000000000e-01	2.182606843869e+02	-4.751295786887e-03	-4.751295786887e-03
2.510000000000e-01	2.178706135813e+02	-4.629324934610e-03	-4.629324934610e-03
2.520000000000e-01	2.174805427757e+02	-4.507354082333e-03	-4.507354082333e-03
2.530000000000e-01	2.170889647514e+02	-4.386142744522e-03	-4.386142744522e-03
2.540000000000e-01	2.166958795086e+02	-4.265690921161e-03	-4.265690921161e-03
2.550000000000e-01	2.163027942657e+02	-4.145239097808e-03	-4.145239097808e-03
2.560000000000e-01	2.159066786782e+02	-4.026444285261e-03	-4.026444285261e-03
2.570000000000e-01	2.155105630906e+02	-3.907649472713e-03	-3.907649472713e-03
2.580000000000e-01	2.151129240667e+02	-3.789748935481e-03	-3.789748935481e-03
2.590000000000e-01	2.147137616064e+02	-3.672742673545e-03	-3.672742673545e-03
2.600000000000e-01	2.143145991462e+02	-3.555736411619e-03	-3.555736411619e-03
2.610000000000e-01	2.139123727619e+02	-3.440643572717e-03	-3.440643572717e-03
2.620000000000e-01	2.135101463776e+02	-3.325550733815e-03	-3.325550733815e-03
2.630000000000e-01	2.131063792930e+02	-3.211473606841e-03	-3.211473606841e-03
2.640000000000e-01	2.127010715082e+02	-3.098412191774e-03	-3.098412191774e-03
2.650000000000e-01	2.122957637234e+02	-2.985350776718e-03	-2.985350776718e-03
2.660000000000e-01	2.118873567355e+02	-2.874431731851e-03	-2.874431731851e-03
2.670000000000e-01	2.114789497477e+02	-2.763512686985e-03	-2.763512686985e-03
2.680000000000e-01	2.110689841440e+02	-2.653716692683e-03	-2.653716692683e-03
2.690000000000e-01	2.106574599246e+02	-2.545043748920e-03	-2.545043748920e-03
2.700000000000e-01	2.102459357051e+02	-2.436370805170e-03	-2.436370805170e-03
2.710000000000e-01	2.098312760994e+02	-2.330040338980e-03	-2.330040338980e-03
2.720000000000e-01	2.094166164937e+02	-2.223709872790e-03	-2.223709872790e-03
2.730000000000e-01	2.090003801046e+02	-2.118595098062e-03	-2.118595098062e-03
2.740000000000e-01	2.085825669322e+02	-2.014696014771e-03	-2.014696014771e-03
2.750000000000e-01	2.081647537597e+02	-1.910796931493e-03	-1.910796931493e-03
2.760000000000e-01	2.077437689142e+02	-1.809410570980e-03	-1.809410570980e-03
2.770000000000e-01	2.073227840686e+02	-1.708024210467e-03	-1.708024210467e-03
2.780000000000e-01	2.069002044199e+02	-1.607931062657e-03	-1.607931062657e-03
2.790000000000e-01	2.064760299681e+02	-1.509131127521e-03	-1.509131127521e-03
2.800000000000e-01	2.060518555163e+02	-1.410331192399e-03	-1.410331192399e-03
2.810000000000e-01	2.056244737970e+02	-1.314183698590e-03	-1.314183698590e-03
2.820000000000e-01	2.051970920778e+02	-1.218036204781e-03	-1.218036204781e-03
2.830000000000e-01	2.047680980788e+02	-1.123244082818e-03	-1.123244082818e-03
2.840000000000e-01	2.043374918000e+02	-1.029807332670e-03	-1.029807332670e-03
2.850000000000e-01	2.039068855212e+02	-9.363705825374e-04	-9.363705825374e-04
2.860000000000e-01	2.034730378559e+02	-8.456951600608e-04	-8.456951600608e-04
2.870000000000e-01	2.030391901905e+02	-7.550197375843e-04	-7.550197375843e-04
2.880000000000e-01	2.026037136981e+02	-6.657464204736e-04	-6.657464204736e-04
2.890000000000e-01	2.021666083785e+02	-5.778752086984e-04	-5.778752086984e-04
2.900000000000e-01	2.017295030588e+02	-4.900039969386e-04	-4.900039969386e-04
2.910000000000e-01	2.012891244687e+02	-4.049722170425e-04	-4.049722170425e-04
2.920000000000e-01	2.008487458785e+02	-3.199404371464e-04	-3.199404371464e-04
2.930000000000e-01	2.004067232157e+02	-2.363421831536e-04	-2.363421831536e-04
2.940000000000e-01	1.999630564802e+02	-1.541774550330e-04	-1.541774550330e-04
2.950000000000e-01	1.995193897447e+02	-7.201272692797e-05	-7.201272692797e-05
2.960000000000e-01	1.990724208180e+02	7.264849188643e-06	7.264849188643e-06
2.970000000000e-01	1.986254518913e+02	8.654242530526e-05	8.654242530526e-05
2.980000000000e-01	1.981768253030e+02	1.643700840264e-04	1.643700840264e-04
2.990000000000e-01	1.977265410531e+02	2.407478253836e-04	2.407478253836e-04
3.000000000000e-01	1.972762568032e+02	3.171255667251e-04	3.171255667251e-04
3.010000000000e-01	1.968226450936e+02	3.905980857891e-04	3.905980857891e-04
3.020000000000e-01	1.963690333839e+02	4.640706048532e-04	4.640706048532e-04
3.030000000000e-01	1.959137524131e+02	5.360913957349e-04	5.360913957349e-04
3.040000000000e-01	1.954568021814e+02	6.066604584657e-04	6.066604584657e-04
3.050000000000e-01	1.949998519495e+02	6.772295211809e-04	6.772295211809e-04
3.060000000000e-01	1.945395532826e+02	7.449038864647e-04	7.449038864647e-04
3.070000000000e-01	1.940792546156e+02	8.125782517485e-04	8.125782517485e-04
3.080000000000e-01	1.936172773849e+02	8.788130548409e-04	8.788130548409e-04
3.090000000000e-01	1.931536215907e+02	9.436082957730e-04	9.436082957730e-04
3.100000000000e-01	1.926899657964e+02	1.008403536690e-03	1.008403536690e-03
3.110000000000e-01	1.922229454714e+02	1.070341844450e-03	1.070341844450e-03
3.120000000000e-01	1.917559251465e+02	1.132280152209e-03	1.132280152209e-03
3.130000000000e-01	1.912872195307e+02	1.192804291627e-03	1.192804291627e-03
3.140000000000e-01	1.908168286242e+02	1.251914262733e-03	1.251914262733e-03
3.150000000000e-01	1.903464377177e+02	1.311024233824e-03	1.311024233824e-03
3.160000000000e-01	1.898726715908e+02	1.367340641606e-03	1.367340641606e-03
3.170000000000e-01	1.893989054640e+02	1.423657049388e-03	1.423657049388e-03
3.180000000000e-01	1.889234501415e+02	1.478597028843e-03	1.478597028843e-03
3.190000000000e-01	1.884463056232e+02	1.532160580001e-03	1.532160580001e-03
3.200000000000e-01	1.879691611049e+02	1.585724131145e-03	1.585724131145e-03
3.210000000000e-01	1.874886365425e+02	1.636581208326e-03	1.636581208326e-03
3.220000000000e-01	1.870081119800e+02	1.687438285507e-03	1.687438285507e-03
3.230000000000e-01	1.865258973516e+02	1.736968019744e-03	1.736968019744e-03
3.240000000000e-01	1.860419926571e+02	1.785170411067e-03	1.785170411067e-03
3.250000000000e-01	1.855580879626e+02	1.833372802375e-03	1.833372802375e-03
3.260000000000e-01	1.850708046549e+02	1.878977418908e-03	1.878977418908e-03
3.270000000000e-01	1.845835213472e+02	1.924582035441e-03	1.924582035441e-03
3.280000000000e-01	1.840945503139e+02	1.968918634792e-03	1.968918634792e-03
3.290000000000e-01	1.836038915551e+02	2.011987216988e-03	2.011987216988e-03
3.300000000000e-01	1.831132327963e+02	2.055055799171e-03	2.055055799171e-03
3.310000000000e-01	1.826192034244e+02	2.095654613301e-03	2.095654613301e-03
3.320000000000e-01	1.821251740525e+02	2.136253427430e-03	2.136253427430e-03
