# t_ns	Wlong_V/pC	Wxdip_V/pCmm	Wydip_V/pCmm
1.430000000000e-01	-2.419568168849e-01	-2.472897101533e-02	-2.472897101533e-02
1.440000000000e-01	-2.357409367950e-01	-2.425204031129e-02	-2.425204031129e-02
1.450000000000e-01	-2.295250566773e-01	-2.377510960728e-02	-2.377510960728e-02
1.460000000000e-01	-2.181683841110e-01	-2.330578832442e-02	-2.330578832442e-02
1.470000000000e-01	-2.068117115447e-01	-2.283646704156e-02	-2.283646704156e-02
1.480000000000e-01	-1.933698855863e-01	-2.238690691758e-02	-2.238690691758e-02
1.490000000000e-01	-1.778429062809e-01	-2.195710795205e-02	-2.195710795205e-02
1.500000000000e-01	-1.623159269596e-01	-2.152730898686e-02	-2.152730898686e-02
1.510000000000e-01	-1.438516103296e-01	-2.116106350368e-02	-2.116106350368e-02
1.520000000000e-01	-1.253872936995e-01	-2.079481802050e-02	-2.079481802050e-02
1.530000000000e-01	-1.061527459234e-01	-2.046767831093e-02	-2.046767831093e-02
1.540000000000e-01	-8.614796701791e-02	-2.017964437410e-02	-2.017964437410e-02
1.550000000000e-01	-6.614318811196e-02	-1.989161043773e-02	-1.989161043773e-02
1.560000000000e-01	-4.605068336354e-02	-1.968646150759e-02	-1.968646150759e-02
1.570000000000e-01	-2.595817861511e-02	-1.948131257745e-02	-1.948131257745e-02
1.580000000000e-01	-6.521633301150e-03	-1.931509828102e-02	-1.931509828102e-02
1.590000000000e-01	1.225895259256e-02	-1.918781861746e-02	-1.918781861746e-02
1.600000000000e-01	3.103953847241e-02	-1.906053895424e-02	-1.906053895424e-02
1.610000000000e-01	4.726309273359e-02	-1.899757563979e-02	-1.899757563979e-02
1.620000000000e-01	6.348664699478e-02	-1.893461232534e-02	-1.893461232534e-02
1.630000000000e-01	7.792955202590e-02	-1.889370528585e-02	-1.889370528585e-02
1.640000000000e-01	9.059180786556e-02	-1.887485452085e-02	-1.887485452085e-02
1.650000000000e-01	1.032540636821e-01	-1.885600375594e-02	-1.885600375594e-02
1.660000000000e-01	1.116565764201e-01	-1.885684835766e-02	-1.885684835766e-02
1.670000000000e-01	1.200590891580e-01	-1.885769295938e-02	-1.885769295938e-02
1.680000000000e-01	1.261550652298e-01	-1.885545062135e-02	-1.885545062135e-02
1.690000000000e-01	1.299445046855e-01	-1.885012134364e-02	-1.885012134364e-02
1.700000000000e-01	1.337339441162e-01	-1.884479206576e-02	-1.884479206576e-02
1.710000000000e-01	1.329135242239e-01	-1.880880106215e-02	-1.880880106215e-02
1.720000000000e-01	1.320931043315e-01	-1.877281005855e-02	-1.877281005855e-02
1.730000000000e-01	1.291394686558e-01	-1.871126073276e-02	-1.871126073276e-02
1.740000000000e-01	1.240526172428e-01	-1.862415308532e-02	-1.862415308532e-02
1.750000000000e-01	1.189657658101e-01	-1.853704543753e-02	-1.853704543753e-02
1.760000000000e-01	1.102543440208e-01	-1.838463413816e-02	-1.838463413816e-02
1.770000000000e-01	1.015429222315e-01	-1.823222283879e-02	-1.823222283879e-02
1.780000000000e-01	9.145787744916e-02	-1.804401178656e-02	-1.804401178656e-02
1.790000000000e-01	7.999920970354e-02	-1.782000098224e-02	-1.782000098224e-02
1.800000000000e-01	6.854054194865e-02	-1.759599017756e-02	-1.759599017756e-02
1.810000000000e-01	5.536905989350e-02	-1.730284727009e-02	-1.730284727009e-02
1.820000000000e-01	4.219757783835e-02	-1.700970436263e-02	-1.700970436263e-02
1.830000000000e-01	2.872199798307e-02	-1.668763508152e-02	-1.668763508152e-02
1.840000000000e-01	1.494232033423e-02	-1.633663942740e-02	-1.633663942740e-02
1.850000000000e-01	1.162642687993e-03	-1.598564377307e-02	-1.598564377307e-02
1.860000000000e-01	-1.213866086274e-02	-1.559611235337e-02	-1.559611235337e-02
1.870000000000e-01	-2.543996441348e-02	-1.520658093366e-02	-1.520658093366e-02
1.880000000000e-01	-3.800906356567e-02	-1.481069632646e-02	-1.481069632646e-02
1.890000000000e-01	-4.984595833519e-02	-1.440845853188e-02	-1.440845853188e-02
1.900000000000e-01	-6.168285309235e-02	-1.400622073741e-02	-1.400622073741e-02
1.910000000000e-01	-7.124026424001e-02	-1.362147916635e-02	-1.362147916635e-02
1.920000000000e-01	-8.079767538767e-02	-1.323673759529e-02	-1.323673759529e-02
1.930000000000e-01	-8.891993607060e-02	-1.287675000896e-02	-1.287675000896e-02
1.940000000000e-01	-9.560704631992e-02	-1.254151640684e-02	-1.254151640684e-02
1.950000000000e-01	-1.022941565519e-01	-1.220628280515e-02	-1.220628280515e-02
1.960000000000e-01	-1.057771244247e-01	-1.195161362907e-02	-1.195161362907e-02
1.970000000000e-01	-1.092600922975e-01	-1.169694445298e-02	-1.169694445298e-02
1.980000000000e-01	-1.111078159842e-01	-1.149624573003e-02	-1.149624573003e-02
1.990000000000e-01	-1.113202955203e-01	-1.134951745904e-02	-1.134951745904e-02
2.000000000000e-01	-1.115327750398e-01	-1.120278918875e-02	-1.120278918875e-02
2.010000000000e-01	-1.086645088170e-01	-1.118524831297e-02	-1.118524831297e-02
2.020000000000e-01	-1.057962425943e-01	-1.116770743720e-02	-1.116770743720e-02
2.030000000000e-01	-1.015948815840e-01	-1.122133565976e-02	-1.122133565976e-02
2.040000000000e-01	-9.606042581493e-02	-1.134613297909e-02	-1.134613297909e-02
2.050000000000e-01	-9.052597003466e-02	-1.147093029921e-02	-1.147093029921e-02
2.060000000000e-01	-8.291714702083e-02	-1.174180618081e-02	-1.174180618081e-02
2.070000000000e-01	-7.530832400701e-02	-1.201268206241e-02	-1.201268206241e-02
2.080000000000e-01	-6.701733233087e-02	-1.235348526115e-02	-1.235348526115e-02
2.090000000000e-01	-5.804417200722e-02	-1.276421577553e-02	-1.276421577553e-02
2.100000000000e-01	-4.907101168031e-02	-1.317494629059e-02	-1.317494629059e-02
2.110000000000e-01	-3.949665718238e-02	-1.370959473007e-02	-1.370959473007e-02
2.120000000000e-01	-2.992230268444e-02	-1.424424316956e-02	-1.424424316956e-02
2.130000000000e-01	-2.042276106126e-02	-1.482854234923e-02	-1.482854234923e-02
2.140000000000e-01	-1.099803231121e-02	-1.546249226801e-02	-1.546249226801e-02
2.150000000000e-01	-1.573303565644e-03	-1.609644218716e-02	-1.609644218716e-02
2.160000000000e-01	7.023658779080e-03	-1.679812269381e-02	-1.679812269381e-02
2.170000000000e-01	1.562062112380e-02	-1.749980320046e-02	-1.749980320046e-02
2.180000000000e-01	2.352625455526e-02	-1.821722202219e-02	-1.821722202219e-02
2.190000000000e-01	3.074055908844e-02	-1.895037915865e-02	-1.895037915865e-02
2.200000000000e-01	3.795486361199e-02	-1.968353629508e-02	-1.968353629508e-02
2.210000000000e-01	4.339202565547e-02	-2.040986068103e-02	-2.040986068103e-02
2.220000000000e-01	4.882918769894e-02	-2.113618506698e-02	-2.113618506698e-02
2.230000000000e-01	5.327146455842e-02	-2.184029426669e-02	-2.184029426669e-02
2.240000000000e-01	5.671885625547e-02	-2.252218828065e-02	-2.252218828065e-02
2.250000000000e-01	6.016624794160e-02	-2.320408229418e-02	-2.320408229418e-02
2.260000000000e-01	6.159800261953e-02	-2.380734190218e-02	-2.380734190218e-02
2.270000000000e-01	6.302975729746e-02	-2.441060151018e-02	-2.441060151018e-02
2.280000000000e-01	6.352862537960e-02	-2.496032995043e-02	-2.496032995043e-02
2.290000000000e-01	6.309460688619e-02	-2.545652722410e-02	-2.545652722410e-02
2.300000000000e-01	6.266058838429e-02	-2.595272449709e-02	-2.595272449709e-02
2.310000000000e-01	6.066135215249e-02	-2.632110557822e-02	-2.632110557822e-02
2.320000000000e-01	5.866211592069e-02	-2.668948665936e-02	-2.668948665936e-02
2.330000000000e-01	5.608787174523e-02	-2.698805567513e-02	-2.698805567513e-02
2.340000000000e-01	5.293861963857e-02	-2.721681262705e-02	-2.721681262705e-02
2.350000000000e-01	4.978936752832e-02	-2.744556957821e-02	-2.744556957821e-02
2.360000000000e-01	4.597665193203e-02	-2.753239916896e-02	-2.753239916896e-02
2.370000000000e-01	4.216393633573e-02	-2.761922875971e-02	-2.761922875971e-02
2.380000000000e-01	3.827523638373e-02	-2.763860509759e-02	-2.763860509759e-02
2.390000000000e-01	3.431055207767e-02	-2.759052818406e-02	-2.759052818406e-02
2.400000000000e-01	3.034586777345e-02	-2.754245126988e-02	-2.754245126988e-02
2.410000000000e-01	2.672026991766e-02	-2.737492778647e-02	-2.737492778647e-02
2.420000000000e-01	2.309467206186e-02	-2.720740430306e-02	-2.720740430306e-02
2.430000000000e-01	1.985363571341e-02	-2.699135823788e-02	-2.699135823788e-02
2.440000000000e-01	1.699716086395e-02	-2.672678959198e-02	-2.672678959198e-02
2.450000000000e-01	1.414068602048e-02	-2.646222094571e-02	-2.646222094571e-02
2.460000000000e-01	1.238968384950e-02	-2.612797915957e-02	-2.612797915957e-02
2.470000000000e-01	1.063868167851e-02	-2.579373737343e-02	-2.579373737343e-02
2.480000000000e-01	9.550472896335e-03	-2.543969518479e-02	-2.543969518479e-02
2.490000000000e-01	9.125057488601e-03	-2.506585259409e-02	-2.506585259409e-02
2.500000000000e-01	8.699642088556e-03	-2.469201000333e-02	-2.469201000333e-02
2.510000000000e-01	9.692438078389e-03	-2.430896215239e-02	-2.430896215239e-02
2.520000000000e-01	1.068523406822e-02	-2.392591430144e-02	-2.392591430144e-02
2.530000000000e-01	1.236977809991e-02	-2.355247858215e-02	-2.355247858215e-02
2.540000000000e-01	1.474607015846e-02	-2.318865499432e-02	-2.318865499432e-02
2.550000000000e-01	1.712236222369e-02	-2.282483140671e-02	-2.282483140671e-02
2.560000000000e-01	2.073075531397e-02	-2.250467449427e-02	-2.250467449427e-02
2.570000000000e-01	2.433914840425e-02	-2.218451758182e-02	-2.218451758182e-02
2.580000000000e-01	2.843926959932e-02	-2.189562075989e-02	-2.189562075989e-02
2.590000000000e-01	3.303111888852e-02	-2.163798402781e-02	-2.163798402781e-02
2.600000000000e-01	3.762296818131e-02	-2.138034729612e-02	-2.138034729612e-02
2.610000000000e-01	4.287820904119e-02	-2.119742316933e-02	-2.119742316933e-02
2.620000000000e-01	4.813344990106e-02	-2.101449904254e-02	-2.101449904254e-02
2.630000000000e-01	5.353939179879e-02	-2.087145646645e-02	-2.087145646645e-02
2.640000000000e-01	5.909603473111e-02	-2.076829544019e-02	-2.076829544019e-02
2.650000000000e-01	6.465267766303e-02	-2.066513441435e-02	-2.066513441435e-02
2.660000000000e-01	7.013714564459e-02	-2.063976525606e-02	-2.063976525606e-02
2.670000000000e-01	7.562161362615e-02	-2.061439609777e-02	-2.061439609777e-02
2.680000000000e-01	8.089167995325e-02	-2.062376653345e-02	-2.062376653345e-02
2.690000000000e-01	8.594734463053e-02	-2.066787656235e-02	-2.066787656235e-02
2.700000000000e-01	9.100300930377e-02	-2.071198659155e-02	-2.071198659155e-02
2.710000000000e-01	9.531469102879e-02	-2.081207597053e-02	-2.081207597053e-02
2.720000000000e-01	9.962637275381e-02	-2.091216534950e-02	-2.091216534950e-02
2.730000000000e-01	1.034386028581e-01	-2.103165413505e-02	-2.103165413505e-02
2.740000000000e-01	1.067513813526e-01	-2.117054232676e-02	-2.117054232676e-02
2.750000000000e-01	1.100641598406e-01	-2.130943051858e-02	-2.130943051858e-02
2.760000000000e-01	1.121955277942e-01	-2.146796933110e-02	-2.146796933110e-02
2.770000000000e-01	1.143268957478e-01	-2.162650814363e-02	-2.162650814363e-02
2.780000000000e-01	1.158151327696e-01	-2.178519632895e-02	-2.178519632895e-02
2.790000000000e-01	1.166602388736e-01	-2.194403388704e-02	-2.194403388704e-02
2.800000000000e-01	1.175053449704e-01	-2.210287144505e-02	-2.210287144505e-02
2.810000000000e-01	1.170357429357e-01	-2.224411528699e-02	-2.224411528699e-02
2.820000000000e-01	1.165661409010e-01	-2.238535912894e-02	-2.238535912894e-02
2.830000000000e-01	1.154597811601e-01	-2.251030324036e-02	-2.251030324036e-02
2.840000000000e-01	1.137166637269e-01	-2.261894762163e-02	-2.261894762163e-02
2.850000000000e-01	1.119735462874e-01	-2.272759200266e-02	-2.272759200266e-02
2.860000000000e-01	1.090568499173e-01	-2.279260232721e-02	-2.279260232721e-02
2.870000000000e-01	1.061401535472e-01	-2.285761265175e-02	-2.285761265175e-02
2.880000000000e-01	1.027092993383e-01	-2.289760938419e-02	-2.289760938419e-02
2.890000000000e-01	9.876428730164e-02	-2.291259252505e-02	-2.291259252505e-02
2.900000000000e-01	9.481927526038e-02	-2.292757566564e-02	-2.292757566564e-02
2.910000000000e-01	9.002223651863e-02	-2.289100522434e-02	-2.289100522434e-02
2.920000000000e-01	8.522519777689e-02	-2.285443478304e-02	-2.285443478304e-02
2.930000000000e-01	8.009895429219e-02	-2.279365280178e-02	-2.279365280178e-02
2.940000000000e-01	7.464350607169e-02	-2.270865928110e-02	-2.270865928110e-02
2.950000000000e-01	6.918805784870e-02	-2.262366576020e-02	-2.262366576020e-02
2.960000000000e-01	6.327324259730e-02	-2.249743948013e-02	-2.249743948013e-02
2.970000000000e-01	5.735842734591e-02	-2.237121320005e-02	-2.237121320005e-02
2.980000000000e-01	5.131150372829e-02	-2.222954310975e-02	-2.222954310975e-02
2.990000000000e-01	4.513247174731e-02	-2.207242920954e-02	-2.207242920954e-02
3.000000000000e-01	3.895343976590e-02	-2.191531530923e-02	-2.191531530923e-02
3.010000000000e-01	3.269506116436e-02	-2.173970279619e-02	-2.173970279619e-02
3.020000000000e-01	2.643668256281e-02	-2.156409028316e-02	-2.156409028316e-02
3.030000000000e-01	2.022414818802e-02	-2.138584347636e-02	-2.138584347636e-02
3.040000000000e-01	1.405745803898e-02	-2.120496237584e-02	-2.120496237584e-02
3.050000000000e-01	7.890767891278e-03	-2.102408127537e-02	-2.102408127537e-02
3.060000000000e-01	1.971768640176e-03	-2.085082291662e-02	-2.085082291662e-02
3.070000000000e-01	-3.947230610925e-03	-2.067756455787e-02	-2.067756455787e-02
3.080000000000e-01	-9.671696388049e-03	-2.051386828018e-02	-2.051386828018e-02
3.090000000000e-01	-1.520162869541e-02	-2.035973408332e-02	-2.035973408332e-02
3.100000000000e-01	-2.073156099997e-02	-2.020559988661e-02	-2.020559988661e-02
3.110000000000e-01	-2.574456682169e-02	-2.007986512781e-02	-2.007986512781e-02
3.120000000000e-01	-3.075757264340e-02	-1.995413036900e-02	-1.995413036900e-02
3.130000000000e-01	-3.545448910931e-02	-1.984583956641e-02	-1.984583956641e-02
3.140000000000e-01	-3.983531622626e-02	-1.975499271965e-02	-1.975499271965e-02
3.150000000000e-01	-4.421614333923e-02	-1.966414587310e-02	-1.966414587310e-02
3.160000000000e-01	-4.786221026508e-02	-1.961163404183e-02	-1.961163404183e-02
3.170000000000e-01	-5.150827719093e-02	-1.955912221055e-02	-1.955912221055e-02
3.180000000000e-01	-5.474278900082e-02	-1.952600615304e-02	-1.952600615304e-02
3.190000000000e-01	-5.756574570368e-02	-1.951228586886e-02	-1.951228586886e-02
3.200000000000e-01	-6.038870240170e-02	-1.949856558488e-02	-1.949856558488e-02
3.210000000000e-01	-6.231768675562e-02	-1.952142889428e-02	-1.952142889428e-02
3.220000000000e-01	-6.424667110955e-02	-1.954429220368e-02	-1.954429220368e-02
3.230000000000e-01	-6.570437703810e-02	-1.958328435781e-02	-1.958328435781e-02
3.240000000000e-01	-6.669080455151e-02	-1.963840535631e-02	-1.963840535631e-02
3.250000000000e-01	-6.767723205970e-02	-1.969352635495e-02	-1.969352635495e-02
3.260000000000e-01	-6.770060936849e-02	-1.977515532065e-02	-1.977515532065e-02
3.270000000000e-01	-6.772398667729e-02	-1.985678428635e-02	-1.985678428635e-02
