# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]	Wxquad [V/pC.mm]	Wyquad [V/pC.mm]
-8.487715191820366e-02	5.776319200000001e-05	8.325144800000001e-07	3.870363700000000e-06	-2.006640198000000e-07	6.800865400000003e-07
-8.466867435869173e-02	6.129092900000001e-05	8.876460800000001e-07	4.129327200000000e-06	-2.144428002000000e-07	7.265207400000001e-07
-8.446019679917979e-02	6.502751699999999e-05	9.463275100000001e-07	4.405132200000000e-06	-2.291400633000001e-07	7.760357200000000e-07
-8.425168588325833e-02	6.898503900000000e-05	1.008780880000000e-06	4.698839300000000e-06	-2.448178379000000e-07	8.288417700000000e-07
-8.404320832374640e-02	7.317591500000001e-05	1.075240880000000e-06	5.011576800000000e-06	-2.615406834000000e-07	8.851566300000003e-07
-8.383473076423445e-02	7.761366999999998e-05	1.145956560000000e-06	5.344545200000000e-06	-2.793756730000000e-07	9.452021800000000e-07
-8.362625320472253e-02	8.231204999999998e-05	1.221191590000000e-06	5.699012700000000e-06	-2.983924630000001e-07	1.009208020000000e-06
-8.341777564521059e-02	8.728605999999999e-05	1.301224500000000e-06	6.076325500000000e-06	-3.186638337000000e-07	1.077413710000000e-06
-8.320929808569864e-02	9.255116000000000e-05	1.386351700000000e-06	6.477908100000000e-06	-3.402669041000001e-07	1.150070410000000e-06
-8.300082052618672e-02	9.812380000000000e-05	1.476886600000000e-06	6.905269200000001e-06	-3.632833422000001e-07	1.227442980000000e-06
-8.279234296667479e-02	1.040213700000000e-04	1.573162400000000e-06	7.360011700000000e-06	-3.878011176000000e-07	1.309814770000000e-06
-8.258386540716284e-02	1.102619500000000e-04	1.675531800000000e-06	7.843832999999998e-06	-4.139142270000000e-07	1.397489130000000e-06
-8.237535449124139e-02	1.168650600000000e-04	1.784368700000000e-06	8.358533999999998e-06	-4.417230160000000e-07	1.490786220000000e-06
-8.216687693172946e-02	1.238506000000000e-04	1.900069700000000e-06	8.906015999999998e-06	-4.713350110000000e-07	1.590050080000000e-06
-8.195839937221754e-02	1.312403400000000e-04	2.023052900000000e-06	9.488299000000001e-06	-5.028656910000000e-07	1.695654430000000e-06
-8.174992181270559e-02	1.390563900000000e-04	2.153761800000000e-06	1.010751200000000e-05	-5.364371870000002e-07	1.807999680000000e-06
-8.154144425319365e-02	1.473227100000000e-04	2.292665300000000e-06	1.076591700000000e-05	-5.721791420000000e-07	1.927520460000000e-06
-8.133296669368173e-02	1.560640900000000e-04	2.440259500000000e-06	1.146590800000000e-05	-6.102305210000002e-07	2.054697980000000e-06
-8.112448913416978e-02	1.653068400000000e-04	2.597068400000000e-06	1.221001900000000e-05	-6.507350810000002e-07	2.190033720000000e-06
-8.091601157465785e-02	1.750787000000000e-04	2.763647200000000e-06	1.300093800000000e-05	-6.938430910000002e-07	2.334043210000000e-06
-8.070753401514592e-02	1.854085300000000e-04	2.940582000000000e-06	1.384152200000000e-05	-7.397120220000001e-07	2.487251400000000e-06
-8.049902309922445e-02	1.963274200000000e-04	3.128497800000000e-06	1.473480300000000e-05	-7.885071770000000e-07	2.650189100000000e-06
-8.029054553971253e-02	2.078669900000000e-04	3.328054300000001e-06	1.568398100000000e-05	-8.404053420000002e-07	2.823421400000000e-06
-8.008206798020058e-02	2.200619500000000e-04	3.539949600000000e-06	1.669244400000000e-05	-8.955970030000004e-07	3.007558900000000e-06
-7.987359042068864e-02	2.329473300000000e-04	3.764922900000000e-06	1.776375700000000e-05	-9.542870590000001e-07	3.203268900000000e-06
-7.966511286117672e-02	2.465611700000000e-04	4.003752900000000e-06	1.890168400000000e-05	-1.016696186000000e-06	3.411285500000000e-06
-7.945663530166477e-02	2.609427200000000e-04	4.257260500000000e-06	2.011019800000000e-05	-1.083059247000000e-06	3.632400300000000e-06
-7.924815774215285e-02	2.761335600000000e-04	4.526309300000000e-06	2.139350300000000e-05	-1.153621479000000e-06	3.867430000000000e-06
-7.903968018264092e-02	2.921775000000000e-04	4.811813700000000e-06	2.275605600000000e-05	-1.228639555000000e-06	4.117196700000000e-06
-7.883120262312898e-02	3.091201900000000e-04	5.114739100000000e-06	2.420256400000000e-05	-1.308380929000000e-06	4.382542100000001e-06
-7.862269170720752e-02	3.270105700000000e-04	5.436107300000000e-06	2.573801500000000e-05	-1.393123381000000e-06	4.664323300000000e-06
-7.841421414769559e-02	3.458983300000000e-04	5.777005000000000e-06	2.736769700000000e-05	-1.483159424000000e-06	4.963441400000001e-06
-7.820573658818365e-02	3.658382000000000e-04	6.138578900000001e-06	2.909720800000000e-05	-1.578801829000000e-06	5.280891700000000e-06
-7.799725902867172e-02	3.868848700000000e-04	6.522045400000000e-06	3.093246600000000e-05	-1.680379275000000e-06	5.617753000000000e-06
-7.778878146915978e-02	4.090982600000000e-04	6.928685700000000e-06	3.287969200000000e-05	-1.788239141000000e-06	5.975168700000000e-06
-7.758030390964785e-02	4.325396300000000e-04	7.359851700000000e-06	3.494547500000000e-05	-1.902750952000000e-06	6.354373500000001e-06
-7.737182635013591e-02	4.572741900000000e-04	7.816969999999998e-06	3.713678600000000e-05	-2.024305876000000e-06	6.756680200000000e-06
-7.716334879062398e-02	4.833704600000000e-04	8.301543000000001e-06	3.946093900000000e-05	-2.153323094000000e-06	7.183471699999999e-06
-7.695487123111204e-02	5.108993000000000e-04	8.815157400000000e-06	4.192567900000000e-05	-2.290248212000000e-06	7.636207300000000e-06
-7.674636031519060e-02	5.399373399999999e-04	9.359487900000000e-06	4.453915900000000e-05	-2.435559433000000e-06	8.116441499999998e-06
-7.653788275567865e-02	5.705618000000000e-04	9.936306300000000e-06	4.730999100000000e-05	-2.589762574000000e-06	8.625804999999998e-06
-7.632940519616672e-02	6.028576600000000e-04	1.054747640000000e-05	5.024725100000000e-05	-2.753385229000000e-06	9.165983600000000e-06
-7.612092763665479e-02	6.369099599999999e-04	1.119496120000000e-05	5.336053500000000e-05	-2.926984120000000e-06	9.738729400000000e-06
-7.591245007714284e-02	6.728115800000000e-04	1.188083200000000e-05	5.666005700000001e-05	-3.111137590000000e-06	1.034586540000000e-05
-7.570397251763092e-02	7.106574000000001e-04	1.260726700000000e-05	6.015661500000000e-05	-3.306456600000000e-06	1.098931000000000e-05
-7.549549495811898e-02	7.505478999999998e-04	1.337656000000000e-05	6.386158600000001e-05	-3.513586420000000e-06	1.167112950000000e-05
-7.528701739860703e-02	7.925910000000000e-04	1.419112400000000e-05	6.778698600000001e-05	-3.733198650000000e-06	1.239350310000000e-05
-7.507853983909511e-02	8.368940999999998e-04	1.505350200000000e-05	7.194534000000000e-05	-3.966000870000001e-06	1.315879240000000e-05
-7.487002892317365e-02	8.835758000000000e-04	1.596638400000000e-05	7.634976999999998e-05	-4.212738780000000e-06	1.396951640000000e-05
-7.466155136366172e-02	9.327540000000000e-04	1.693261000000000e-05	8.101403999999998e-05	-4.474187230000000e-06	1.482827900000000e-05
-7.445307380414978e-02	9.845601000000000e-04	1.795518800000000e-05	8.595272000000000e-05	-4.751166430000000e-06	1.573778380000000e-05
-7.424459624463785e-02	1.039124100000000e-03	1.903729900000000e-05	9.118122000000002e-05	-5.044571219999999e-06	1.670088930000000e-05
-7.403611868512591e-02	1.096591900000000e-03	2.018230500000000e-05	9.671591999999999e-05	-5.355363930000000e-06	1.772059390000000e-05
-7.382764112561398e-02	1.157105600000000e-03	2.139373800000000e-05	1.025742500000000e-04	-5.684567399999999e-06	1.880003300000000e-05
-7.361916356610204e-02	1.220818800000000e-03	2.267531200000000e-05	1.087745200000000e-04	-6.033261360000000e-06	1.994250900000000e-05
-7.341068600659011e-02	1.287893500000000e-03	2.403088700000000e-05	1.153359600000000e-04	-6.402564370000000e-06	2.115139800000000e-05
-7.320220844707817e-02	1.358495400000000e-03	2.546452200000000e-05	1.222787400000000e-04	-6.793596430000000e-06	2.243017300000000e-05
-7.299369753115670e-02	1.432805100000000e-03	2.698046500000000e-05	1.296239400000000e-04	-7.207504699999998e-06	2.378250000000000e-05
-7.278521997164478e-02	1.511002000000000e-03	2.858320900000000e-05	1.373937600000000e-04	-7.645500250000001e-06	2.521231100000000e-05
-7.257674241213284e-02	1.593285400000000e-03	3.027752400000000e-05	1.456116000000000e-04	-8.108886180000000e-06	2.672403400000000e-05
-7.236826485262089e-02	1.679851900000000e-03	3.206843300000000e-05	1.543021200000000e-04	-8.599101750000000e-06	2.832258000000000e-05
-7.215978729310897e-02	1.770917500000000e-03	3.396124400000000e-05	1.634913300000000e-04	-9.117724620000001e-06	3.001327200000000e-05
-7.195130973359704e-02	1.866701400000000e-03	3.596151800000000e-05	1.732066500000000e-04	-9.666448050000002e-06	3.180160700000000e-05
